Package Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Label
com.powerapps.camera,android.permission.INTERNET, android.permission.GET_ACCOUNTS, android.permission.WAKE_LOCK, com.powerapps.camera.permission.C2D_MESSAGE, com.google.android.c2dm.permission.RECEIVE, android.permission.WRITE_EXTERNAL_STORAGE, android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE, android.permission.ACCESS_FINE_LOCATION, android.permission.CAMERA, com.android.launcher.permission.INSTALL_SHORTCUT, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,,,,,,,,,NEGATIVE
com.pokevian.skids, android.permission.CAMERA, android.permission.SYSTEM_ALERT_WINDOW, android.permission.WRITE_EXTERNAL_STORAGE, android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.INTERNET, android.permission.ACCESS_NETWORK_STATE, android.permission.CALL_PHONE, android.permission.WAKE_LOCK, android.permission.RECEIVE_BOOT_COMPLETED, android.permission.RECORD_AUDIO, android.permission.READ_CONTACTS, android.permission.SEND_SMS, android.permission.WRITE_SMS, android.permission.READ_PHONE_STATE, com.android.vending.CHECK_LICENSE, com.google.android.providers.gsf.permission.READ_GSERVICES, com.pokevian.app.caroo.permission.MAPS_RECEIVE, com.pokevian.app.caroo.permission.LAUNCH, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,NEGATIVE
com.wGameRoms, android.permission.INTERNET, android.permission.ACCESS_NETWORK_STATE, android.webkit.permission.PLUGIN, com.wGameRoms.permission.C2D_MESSAGE, com.google.android.c2dm.permission.RECEIVE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.carpooling.android.fr, android.permission.INTERNET, android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_FINE_LOCATION, android.permission.CALL_PHONE, android.permission.READ_PHONE_STATE, com.carpooling.android.fr.permission.C2D_MESSAGE, com.google.android.c2dm.permission.RECEIVE, android.permission.WAKE_LOCK, android.permission.GET_ACCOUNTS, android.permission.VIBRATE ,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.edupad.app.francais5e, android.permission.INTERNET, android.permission.WRITE_EXTERNAL_STORAGE, android.permission.GET_ACCOUNTS, com.android.vending.BILLING, android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.WAKE_LOCK, com.android.vending.CHECK_LICENSE, android.permission.DOWNLOAD_WITHOUT_NOTIFICATION, android.permission.USE_CREDENTIALS, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.herbalistler.zopoz.com, android.permission.INTERNET, android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.baqa.quran.memorizer, android.permission.WAKE_LOCK, android.permission.ACCESS_NETWORK_STATE, android.permission.INTERNET, android.permission.STORAGE, android.permission.WRITE_EXTERNAL_STORAGE, com.android.vending.CHECK_LICENSE, android.permission.READ_PHONE_STATE, android.permission.WRITE_SETTINGS, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.serinabauce24.HipHopDance, android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_LOCATION, android.permission.ACCESS_LOCATION_EXTRA_COMMANDS, android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.INTERNET, android.permission.READ_PHONE_STATE, android.permission.WRITE_EXTERNAL_STORAGE, com.google.android.gms.permission.ACTIVITY_RECOGNITION, android.permission.GET_ACCOUNTS, android.permission.WAKE_LOCK, com.serinabauce24.HipHopDance.permission.C2D_MESSAGE, com.google.android.c2dm.permission.RECEIVE, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,,,,,,,,POSITIVE
com.jesse.mrjack, android.permission.WAKE_LOCK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
com.applantation.android.maps.guadeloupe, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_COARSE_LOCATION, android.permission.WRITE_EXTERNAL_STORAGE, android.permission.READ_EXTERNAL_STORAGE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE
