Package Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.mjk.locusmaptweak,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mobi.pixi.media.player.lime,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,android.permission.READ_LOGS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SETTINGS,android.permission.WAKE_LOCK,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.abwaters.ringtones.sexy,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.WRITE_SETTINGS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.M.alcodroid,com.android.vending.BILLING,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.ccs.powercontrol,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.beiz.lolaispy,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,android.permission.WAKE_LOCK,com.beiz.lolaispy.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.conduit.app_acbf2525e4034a8bb0391fdcce555625.app,android.permission.VIBRATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.INTERNET,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,android.permission.WAKE_LOCK,android.permission.CAMERA,com.conduit.app_acbf2525e4034a8bb0391fdcce555625.app.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.conduit.app_acbf2525e4034a8bb0391fdcce555625.app.permission.RECEIVE_ADM_MESSAGE,com.amazon.device.messaging.permission.RECEIVE,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.xvideostudio.videoeditor,android.permission.RECORD_AUDIO,com.android.vending.BILLING,android.permission.ACCESS_SURFACE_FLINGER,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.SET_WALLPAPER,com.android.launcher.permission.INSTALL_SHORTCUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.eurekoo.m4emobile,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POSITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.sevenone.epicminecraftbuilding,android.permission.READ_PHONE_STATE,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.SET_WALLPAPER,android.permission.SET_WALLPAPER_HINTS,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.READ_EXTERNAL_STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEGATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
